姓名,字,日文,简体,拼音,假名,女,異民族,"S01
身體","S01
知力","S01
武力","S01
魅力","S01
運勢","S02
知力","S02
武力","S02
魅力","S03
陸指","S03
水指","S03
武力","S03
知力","S03
政治","S03
魅力","S04
統率","S04
武力","S04
知力","S04
政治","S04
魅力","S05
武力","S05
知力","S05
政治","S05
魅力","S06
統率","S06
武力","S06
知力","S06
政治","S06
魅力","S07
武力","S07
知力","S07
政治","S07
魅力","S08
武力","S08
知力","S08
政治","S08
魅力","S09
統率","S09
武力","S09
知力","S09
政治","S10
統率","S10
武力","S10
知力","S10
政治","S10
魅力","S11
統率","S11
武力","S11
知力","S11
政治","S11
魅力","S12
統率","S12
武力","S12
知力","S12
政治",備註
沙摩柯,,沙摩柯,沙摩柯,Shā Mókē,シャマカ,,五谿蠻,74,14,89,56,45,22,83,24,74,70,91,20,17,48,70,91,23,17,43,92,17,13,46,61,85,18,18,40,70,26,21,46,77,26,26,49,68,81,32,18,62,84,27,13,46,60,84,25,14,44,66,84,25,14,三代作「沙摩可」。
朱異,季文,朱異,朱异,Zhū Yì,シュイ,,,,,,,,,,,,,,,,,47,50,39,44,31,50,41,38,26,61,55,61,41,37,76,58,42,53,69,49,42,53,71,72,68,64,71,68,65,48,55,70,68,60,45,54,70,73,61,45,
脩允,,脩允,脩允,Xiū Yǔn,シュウイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,68,43,58,,,,,,,,,,,,,,,
周昕,大明,周昕,周昕,Zhōu Xīn,シュウキン,,,,,,,,,,,52,22,71,39,28,36,55,73,40,29,34,72,40,27,29,48,66,29,43,22,68,73,64,76,66,39,52,59,68,69,71,57,67,53,77,65,62,65,62,72,65,61,65,62,73,65,
周昂,,周昂,周昂,Zhōu Áng,シュウコウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,64,64,61,59,74,65,62,49,62,74,65,65,49,
周旨,,周旨,周旨,Zhōu Zhǐ,シュウシ,,,,,,,,,,,,,,,,,59,81,49,31,49,81,47,27,44,52,77,47,35,34,74,41,38,48,81,41,43,52,64,84,42,24,66,84,42,29,44,65,85,41,29,43,65,85,41,29,
周浚,,周浚,周浚,Zhōu Jùn,シュウシュン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,62,57,52,,,,,,,,,,,,,,,
周善,,周善,周善,Zhōu Shàn,シュウゼン,,,,,,,,,,,43,54,75,42,36,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周倉,,周倉,周仓,Zhōu Cāng,シュウソウ,,,89,30,84,83,88,31,87,55,82,70,85,30,24,58,63,85,29,36,59,82,29,31,54,42,79,30,30,54,82,18,16,56,80,34,32,57,66,83,56,39,61,84,49,31,58,62,84,42,33,60,68,84,42,33,
脩則,,脩則,脩则,Xiū Zé,シュウソク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,40,57,67,,,,,,,,,,,,,,,
州泰,,州泰,州泰,Zhōu Tài,シュウタイ,,,,,,,,,,,,,,,,,58,69,61,49,58,65,62,44,57,62,55,61,57,61,76,58,60,58,70,67,63,62,71,67,70,71,71,63,73,62,60,71,64,71,64,59,71,65,71,66,SAN12 家機版限定武將。
周泰,幼平,周泰,周泰,Zhōu Tài,シュウタイ,,,84,53,86,64,79,52,85,70,78,72,84,53,47,61,78,84,60,54,67,94,65,51,70,74,88,60,57,67,88,48,45,56,90,48,43,61,81,93,48,33,76,91,50,37,61,76,91,48,38,60,84,91,48,38,
周朝,,周朝,周朝,Zhōu Zhāo,シュウチョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,26,22,38,,,,,,,,,,,,,,,63,68,26,22,
周魴,子魚,周魴,周鲂,Zhōu Fáng,シュウホウ,,,,,,,,78,51,66,40,33,49,71,79,60,50,58,72,79,60,43,79,77,59,56,36,76,75,57,63,80,76,62,58,84,76,69,56,20,84,72,56,44,82,75,66,52,41,80,75,59,52,41,80,75,
周瑜,公瑾,周瑜,周瑜,Zhōu Yú,シュウユ,,,74,97,56,94,25,97,78,95,73,100,75,96,86,95,97,78,98,89,97,78,99,87,96,97,73,97,86,98,89,97,78,89,69,97,89,92,98,71,97,91,98,72,96,81,93,97,71,96,86,93,95,71,96,86,
朱桓,休穆,朱桓,朱桓,Zhū Huán,シュカン,,,89,54,78,50,48,76,82,80,76,81,83,75,69,82,81,83,77,67,81,89,76,67,80,84,86,74,72,77,85,74,56,73,82,81,56,71,87,84,81,59,85,82,74,54,59,84,82,73,56,59,84,82,77,56,
朱據,子範,朱拠,朱据,Zhū Jù,シュキョ,,,,,,,,,,,,,,,,,,,,,,,,,,73,71,72,49,65,78,73,52,71,66,76,58,69,78,63,77,78,74,59,73,68,72,77,57,72,70,76,77,57,72,70,
祝融,,祝融,祝融,Zhù Róng,シュクユウ,女,南蠻,,,,,,,,,,,,,,,63,79,16,13,36,81,14,14,54,59,87,25,18,65,70,24,19,58,80,42,38,72,68,85,32,30,61,85,28,22,74,74,85,29,24,74,74,85,29,24,四代五代六代作「祝融夫人」。
朱光,,朱光,朱光,Zhū Guāng,シュコウ,,,,,,,,,,,69,26,74,48,42,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱讚,,朱讃,朱赞,Zhū Zàn,シュサン,,,,,,,,,,,72,70,74,48,43,73,,,,,,,,,,,,,,,,,,,71,38,36,47,,,,,,,,,,,,,,,,,,,
朱鑠,,朱鑠,朱铄,Zhū Shuò,シュシャク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,35,55,66,
朱儁,公偉,朱儁,朱儁,Zhū Jùn,シュシュン,,,82,58,69,60,69,,,,78,70,75,60,74,80,79,76,60,74,83,76,61,74,83,82,75,65,77,83,78,64,72,78,65,72,62,72,81,40,72,77,84,62,73,70,78,78,65,70,71,73,89,65,70,71,七代作「朱雋」。
朱然,義封,朱然,朱然,Zhū Rán,シュゼン,,,,,,,,33,78,65,70,70,75,35,27,60,67,76,38,24,56,76,40,34,63,73,72,51,26,62,85,70,56,74,72,65,53,74,82,70,65,62,86,66,71,60,79,79,69,71,60,75,79,69,71,60,
朱治,君理,朱治,朱治,Zhū Zhì,シュチ,,,78,42,45,21,35,43,44,45,45,40,57,48,32,48,42,57,47,33,48,59,47,32,46,58,55,56,47,65,80,74,72,75,70,75,72,74,70,58,72,74,70,58,74,73,76,71,56,72,73,75,71,56,72,73,
朱褒,,朱褒,朱褒,Zhū Bāo,シュホウ,,,87,18,72,46,39,13,73,18,54,30,59,60,67,14,,,,,,,,,,,,,,,58,21,20,24,70,21,20,45,65,71,18,26,59,72,12,19,37,68,73,34,32,40,68,73,34,32,
朱靈,文博,朱霊,朱灵,Zhū Lìng,シュレイ,,,87,39,75,61,79,39,75,40,69,25,74,35,30,39,67,75,35,29,40,63,40,29,41,56,58,36,34,29,77,43,38,53,71,52,50,53,74,73,66,50,77,70,69,61,38,71,73,67,53,42,71,73,67,53,
荀彧,文若,荀彧,荀彧,Xún Yù,ジュンイク,,,65,96,24,37,22,97,39,89,62,60,37,96,85,85,64,35,97,90,84,34,98,95,90,54,29,97,93,92,29,97,93,92,13,95,95,87,51,11,96,99,48,14,96,99,93,52,14,95,98,93,62,14,95,98,
淳于瓊,仲簡,淳于瓊,淳于琼,Chúnyú Qióng,ジュンウケイ,,,,,,,,65,76,68,68,24,73,62,50,61,65,75,61,48,57,72,58,45,69,72,67,60,62,66,68,57,32,41,66,33,29,39,70,68,25,27,76,67,32,31,33,72,66,29,29,36,72,66,29,29,
荀惲,長倩,荀惲,荀恽,Xún Yùn,ジュンウン,,,,,,,,,,,36,17,41,42,69,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荀愷,,荀愷,荀恺,Xún Kǎi,ジュンガイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,56,25,54,55,75,67,72,,,,,,,,,,,,,,,
荀顗,景倩,荀顗,荀顗,Xún Yǐ,ジュンギ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,69,77,76,16,11,70,72,16,11,73,75,74,16,13,70,74,69,,,,,
荀勗,,荀勗,荀勗,Xún Xù,ジュンキョク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80,76,38,15,19,78,74,10,16,77,76,41,8,19,77,72,53,,,,,
荀諶,友若,荀諶,荀谌,Xún Chén,ジュンシン,,,,,,,,,,,44,10,49,57,72,48,,,,,,,,,,,,,,,31,81,70,65,28,79,72,65,20,24,77,73,20,21,79,74,68,19,25,77,78,64,34,25,78,78,
荀爽,,荀爽,荀爽,Xún Shuǎng,ジュンソウ,,,,,,,,,,,39,16,45,70,77,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
荀攸,公達,荀攸,荀攸,Xún Yōu,ジュンユウ,,,65,89,27,48,45,94,41,72,60,58,40,94,85,70,60,38,94,91,80,49,95,90,82,73,41,90,91,80,26,94,90,88,25,91,90,84,70,21,94,89,73,25,94,88,86,73,26,94,88,84,73,26,94,88,
焦彝,,焦彝,焦彝,Jiāo Yí,ショウイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,61,51,32,54,65,55,32,57,62,69,63,42,52,,,,,
鍾毓,,鍾毓,钟毓,Zhōng Yù,ショウイク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,70,74,27,11,71,74,70,32,12,71,76,72,,,,,
蔣琬,公琰,蒋琬,蒋琬,Jiǎng Wǎn,ショウエン,,,61,78,28,66,70,84,61,83,73,70,60,85,80,84,74,61,85,93,83,54,91,94,84,70,55,86,96,82,38,81,93,78,33,80,90,78,73,38,84,93,74,39,85,93,81,78,34,84,93,81,78,34,84,93,
鍾會,士季,鍾会,钟会,Zhōng Huì,ショウカイ,,,,,,,,95,62,77,80,74,70,94,70,79,84,73,95,87,78,62,96,83,81,84,58,93,84,76,86,91,64,62,64,91,79,67,77,42,91,80,84,56,91,79,57,82,51,91,79,66,82,51,91,79,
蔣幹,子翼,蒋幹,蒋干,Jiǎng Gàn,ショウカン,,,78,73,16,18,43,,,,,,,,,,31,22,68,26,13,13,67,39,39,19,20,70,19,42,18,68,63,51,17,66,62,44,8,7,67,63,9,7,69,62,47,9,6,65,64,47,19,6,66,64,
蔣奇,,蒋奇,蒋奇,Jiǎng Qí,ショウキ,,,,,,,,,,,60,22,72,41,37,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔣義渠,,蒋義渠,蒋义渠,Jiǎng Yìqú,ショウギキョ,,,,,,,,33,70,61,63,23,71,35,30,60,64,71,36,32,60,71,39,42,58,68,59,34,47,62,53,32,41,50,63,39,47,53,66,64,52,56,72,60,62,50,57,71,58,57,51,55,71,58,59,51,
向舉,,尚挙,向举,Xiàng Jǔ,ショウキョ,,,,,,,,72,20,54,20,11,24,69,73,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三代作「尚挙」。
小喬,,小喬,小乔,Xiǎo Qiáo,ショウキョウ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,85,75,80,24,32,72,70,,,,,,16,12,73,77,92,40,12,74,77,
蔣欽,公奕,蒋欽,蒋钦,Jiǎng Qīn,ショウキン,,,89,59,78,55,55,,,,62,65,67,64,52,57,70,79,68,50,67,78,70,40,66,64,66,67,53,63,84,53,48,86,85,44,40,76,79,85,45,36,78,87,58,52,78,78,84,51,42,74,78,84,54,42,八代為最初劇本能力，206 年後智力及政治上升 5。
蔣顯,,蒋顕,蒋显,Jiǎng Xiǎn,ショウケン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,17,64,61,,,,,,,,,,,,,,,
尚弘,,尚弘,尚弘,Shàng Hóng,ショウコウ,,,,,,,,,,,36,14,43,54,62,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔣濟,子通,蒋済,蒋济,Jiǎng Jì,ショウサイ,,,,,,,,,,,,,,,,,30,26,82,70,51,30,86,71,50,30,33,84,88,57,68,85,72,54,64,80,78,54,68,49,81,80,50,42,87,77,55,48,43,85,77,56,48,43,85,77,
譙周,允南,譙周,谯周,Qiáo Zhōu,ショウシュウ,,,85,67,43,39,68,,,,,,,,,,23,21,76,63,64,16,86,59,63,22,26,81,66,57,19,73,82,60,12,67,74,56,4,5,66,73,4,9,65,72,54,3,3,66,71,50,16,3,67,71,
蔣舒,,蒋舒,蒋舒,Jiǎng Shū,ショウジョ,,,,,,,,,,,,,,,,,58,57,48,44,39,58,41,36,15,44,48,35,25,15,51,28,32,34,62,33,34,33,69,80,33,31,55,72,35,33,22,55,76,35,29,30,,,,,
焦觸,,焦触,焦触,Jiāo Chù,ショウショク,,,,,,,,33,68,51,61,18,65,34,30,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,72,33,32,39,65,76,33,32,
鍾進,,鍾進,钟进,Zhōng Jìn,ショウシン,,,82,22,57,31,31,,,,66,26,72,58,47,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向寵,,向寵,向宠,Xiàng Chǒng,ショウチョウ,,,89,39,85,83,96,41,85,70,82,70,40,85,73,78,82,40,84,75,79,70,71,61,76,76,42,73,75,74,74,68,53,71,66,77,56,71,72,56,77,67,74,59,76,67,71,76,61,76,67,71,76,61,77,67,
少帝,,少帝,少帝,Shǎo Dì,ショウテイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,40,3,1,2,3,,,,,,3,5,9,4,11,14,9,5,3,
邵悌,元伯,邵悌,邵悌,Shào Tì,ショウテイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,76,62,56,20,16,72,65,22,16,78,65,59,21,15,72,66,54,,,,,
蔣班,,蒋班,蒋班,Jiǎng Bān,ショウハン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,73,64,46,56,73,66,41,52,63,73,62,41,48,,,,,
蔣斌,,蒋斌,蒋斌,Jiǎng Bīn,ショウヒン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,68,76,74,37,24,66,73,30,28,67,74,71,27,23,64,73,74,58,32,65,74,SAN12 家機版限定武將。
鍾繇,元常,鍾繇,钟繇,Zhōng Yáo,ショウヨウ,,,61,80,16,43,36,79,16,24,11,6,15,68,77,30,16,15,67,79,31,8,76,92,56,16,20,74,95,54,76,81,88,78,52,79,90,77,60,15,77,95,70,26,78,92,72,70,24,76,91,80,70,24,77,91,
鍾離斐,,鍾離斐,钟离斐,Zhōnglí Fěi,ショウリヒ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,77,56,50,,,,,,,,,,,,,,,
鍾離牧,子幹,鍾離牧,钟离牧,Zhōnglí Mù,ショウリボク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,68,75,61,73,77,72,73,65,71,80,72,73,65,
向朗,巨達,向朗,向朗,Xiàng Lǎng,ショウロウ,,,,,,,,,,,40,19,52,69,74,63,,,,,,19,80,68,63,51,27,77,67,63,24,68,74,71,24,72,74,70,28,18,72,74,28,15,71,74,70,28,18,73,74,69,28,18,74,74,
徐榮,,徐栄,徐荣,Xú Róng,ジョエイ,,,78,34,39,75,80,35,41,38,38,19,54,38,45,40,40,54,39,44,40,56,39,41,49,47,63,33,51,40,68,46,45,53,68,53,42,45,76,71,66,40,82,73,64,47,45,80,76,57,43,42,80,76,62,43,
諸葛恪,元遜,諸葛恪,诸葛恪,Zhūgé Kè,ショカツカク,,,,,,,,95,50,80,69,75,52,95,83,75,68,50,91,83,76,53,93,80,74,61,53,92,80,72,62,91,82,68,43,89,82,62,61,37,90,78,72,46,90,80,49,72,47,90,80,60,72,47,90,80,
諸葛喬,伯松,諸葛喬,诸葛乔,Zhūgé Qiáo,ショカツキョウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,17,77,67,75,62,27,75,70,77,62,27,75,70,
諸葛瑾,子瑜,諸葛瑾,诸葛瑾,Zhūgé Jǐn,ショカツキン,,,84,94,20,70,70,93,52,92,46,46,55,91,80,95,56,47,89,90,94,41,91,94,94,60,42,88,94,89,58,87,92,88,54,81,91,89,74,33,79,92,75,35,81,89,88,75,34,81,89,90,75,34,81,89,
諸葛均,,諸葛均,诸葛均,Zhūgé Jūn,ショカツキン,,,,,,,,,,,,,,,,,,,,,,43,77,60,71,59,45,74,65,67,52,68,65,60,46,58,65,70,28,27,50,65,29,30,56,65,66,29,25,51,66,71,29,25,52,66,
諸葛緒,,諸葛緒,诸葛绪,Zhūgé Xù,ショカツショ,,,,,,,,,,,,,,,,,49,57,29,33,40,,,,,,,,,,,,,,60,39,68,57,48,41,38,58,45,43,27,48,50,41,40,29,46,48,,,,,
諸葛尚,,諸葛尚,诸葛尚,Zhūgé Shàng,ショカツショウ,,,,,,,,,,,,,,,,,60,77,71,50,61,77,61,25,71,52,75,71,34,71,56,58,46,54,73,49,50,69,69,72,52,70,54,73,55,55,68,64,77,62,55,68,64,79,62,55,
諸葛靚,仲思,諸葛靚,诸葛靓,Zhūgé Jìng,ショカツセイ,,,,,,,,,,,,,,,,,61,71,68,49,67,73,68,52,69,56,57,54,54,65,71,55,56,63,67,55,52,68,70,56,65,63,58,65,67,57,68,58,63,66,65,68,,,,,
諸葛瞻,思遠,諸葛瞻,诸葛瞻,Zhūgé Zhān,ショカツセン,,,,,,,,,,,,,,,,,74,60,72,60,80,70,79,32,81,73,52,76,68,80,55,64,65,67,71,62,61,78,73,65,74,78,68,61,72,61,70,71,60,70,72,75,70,57,76,72,
諸葛誕,公休,諸葛誕,诸葛诞,Zhūgé Dàn,ショカツタン,,,,,,,,71,79,82,66,70,72,70,59,80,74,82,71,59,84,83,73,56,83,79,79,73,72,81,83,70,62,82,72,70,65,82,80,70,76,76,81,71,75,66,82,81,72,71,75,82,72,72,76,75,
諸葛亮,孔明,諸葛亮,诸葛亮,Zhūgé Liàng,ショカツリョウ,,,69,100,72,97,84,100,65,98,92,78,61,100,92,95,97,55,100,96,96,60,100,96,97,97,55,100,98,98,78,92,98,85,50,100,98,91,92,33,100,98,93,37,100,98,92,92,38,100,95,92,98,38,100,95,
徐晃,公明,徐晃,徐晃,Xú Huǎng,ジョコウ,,,90,56,91,65,88,45,92,68,83,75,91,49,41,62,84,91,48,37,61,93,68,57,63,79,89,68,59,67,91,74,53,72,90,69,56,73,84,91,71,52,89,89,74,52,73,88,90,74,48,71,91,90,78,48,
徐氏,,徐氏,徐氏,Xú Shì,ジョシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,16,80,70,84,48,16,80,70,
徐質,,徐質,徐质,Xú Zhì,ジョシツ,,,,,,,,,,,,,,,,,66,71,40,48,60,66,36,47,58,55,73,34,53,60,64,43,45,42,80,36,38,48,53,80,27,20,54,80,24,18,43,68,83,24,26,44,68,83,24,26,
徐庶,元直,徐庶,徐庶,Xú Shù,ジョショ,,,81,96,37,81,95,96,64,85,85,74,65,95,87,85,87,67,96,88,84,68,97,86,85,90,70,96,81,83,84,91,80,84,68,96,87,85,88,65,96,80,80,64,94,80,81,84,64,93,80,81,87,64,93,80,
徐商,,徐商,徐商,Xú Shāng,ジョショウ,,,,,,,,54,63,48,61,25,66,55,40,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐盛,文嚮,徐盛,徐盛,Xú Shèng,ジョセイ,,,79,49,86,56,91,74,64,68,59,32,65,70,77,71,83,80,83,70,78,84,84,69,78,83,76,83,73,76,83,81,64,68,81,82,64,79,88,89,84,68,87,81,77,62,70,87,81,78,65,73,86,81,78,65,
徐邈,景山,徐邈,徐邈,Xú Miǎo,ジョバク,,,,,,,,,,,,,,,,,,,,,,,,,,51,41,72,81,70,43,61,86,85,42,59,83,78,47,34,68,84,55,32,70,84,80,55,32,67,82,79,55,32,68,82,
岑威,,岑威,岑威,Cén Wēi,シンイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,48,54,56,,,,,,,,,,,,,,,,,,,
沈瑩,,沈瑩,沈莹,Shěn Yíng,シンエイ,,,,,,,,,,,71,70,70,51,38,74,58,76,51,38,59,75,56,37,62,53,72,51,41,61,73,38,42,62,72,53,48,67,72,80,54,39,76,81,61,44,68,70,77,61,42,65,,,,,
審榮,,審栄,审荣,Shěn Róng,シンエイ,,,,,,,,49,48,47,45,24,55,48,52,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦琪,,秦琪,秦琪,Qín Qí,シンキ,,,,,,,,,,,57,27,63,52,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申儀,,申儀,申仪,Shēn Yí,シンギ,,,,,,,,,,,60,23,67,54,46,48,,,,,,,,,,55,61,51,55,50,54,52,51,47,55,54,56,47,60,63,56,52,57,61,59,57,47,55,59,59,56,47,55,59,60,56,
辛憲英,,辛憲英,辛宪英,Xīn Xiànyīng,シンケンエイ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,28,84,76,75,42,28,84,76,
岑昏,,岑昏,岑昏,Cén Hūn,シンコン,,,,,,,,,,,28,15,34,62,77,27,40,19,48,72,19,10,46,71,13,15,16,44,75,17,17,46,33,14,10,30,28,14,1,2,30,2,1,2,30,7,2,1,1,33,13,4,,,,,
甄氏,,甄氏,甄氏,Zhēn Shì,シンシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,71,66,94,35,4,72,66,
任峻,,任峻,任峻,Rèn Jùn,ジンシュン,,,,,,,,,,,63,26,67,54,50,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
辛敞,泰雍,辛敞,辛敞,Xīn Chǎng,シンショウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,34,45,72,51,29,46,70,68,50,26,42,68,67,,,,,
申耽,義舉,申耽,申耽,Shēn Dān,シンタン,,,,,,,,,,,61,28,72,56,48,60,60,72,55,48,60,68,59,50,61,56,58,57,57,53,58,48,36,56,57,48,39,44,59,66,63,42,56,62,54,58,45,56,62,52,41,47,56,62,54,41,
審配,正南,審配,审配,Shěn Pèi,シンパイ,,,93,32,66,78,32,80,72,71,73,72,71,67,80,75,74,70,69,84,76,73,69,87,75,75,66,68,85,74,78,80,61,72,70,83,63,76,82,59,85,71,83,61,83,73,70,84,60,83,73,70,80,60,83,73,
辛毗,佐治,辛毗,辛毗,Xīn Pí,シンピ,,,89,35,74,78,40,78,48,81,42,21,50,74,79,83,40,51,73,80,82,41,74,80,82,47,28,74,85,80,28,67,83,79,28,77,84,73,32,23,78,82,38,25,78,83,76,39,24,78,79,72,39,24,79,79,早期日文版與中文版作「辛毘」。
辛評,仲治,辛評,辛评,Xīn Píng,シンピョウ,,,,,,,,63,71,67,63,23,70,65,58,64,63,70,67,54,65,63,76,63,66,68,51,75,69,78,31,64,68,66,34,74,76,65,74,46,72,74,71,54,74,75,67,69,43,76,75,68,69,43,77,75,
秦宓,子敕,秦宓,秦宓,Qín Mì,シンフク,,,,,,,,,,,,,,,,,38,31,71,65,67,22,75,61,62,36,27,76,68,65,18,74,65,76,18,71,66,76,15,6,71,78,12,6,70,71,76,16,7,72,78,76,31,7,73,78,
辛明,,辛明,辛明,Xīn Míng,シンメイ,,,,,,,,,,,54,26,59,48,42,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦良,,秦良,秦良,Qín Liáng,シンリョウ,,,,,,,,,,,62,25,65,44,40,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦朗,元明,秦朗,秦朗,Qín Lǎng,シンロウ,,,,,,,,,,,61,28,66,37,21,47,,,,,,,,,,,,,,,,,,,72,42,26,34,68,70,37,18,57,70,38,16,39,58,70,35,15,42,58,70,35,15,
眭元進,,眭元進,眭元进,Guì Yuánjìn,スイゲンシン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,63,38,21,45,52,68,45,32,49,,,,,
眭固,白兔,眭固,眭固,Guì Gù,スイコ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,46,21,38,67,40,21,34,67,74,40,7,61,72,40,7,21,63,71,38,7,33,63,71,38,7,
鄒氏,,鄒氏,邹氏,Zōu Shì,スウシ,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,36,42,89,24,6,77,62,
鄒靖,,鄒靖,邹靖,Zōu Jìng,スウセイ,,,,,,,,,,,54,23,62,60,47,68,,,,,,67,66,47,68,,,,,,,,,,73,64,58,71,72,70,65,57,67,65,66,54,68,70,64,66,59,67,,,,,
鄒丹,,鄒丹,邹丹,Zōu Dān,スウタン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,71,36,45,63,71,36,38,40,61,64,34,37,39,61,64,34,37,
成宜,,成宜,成宜,Chéng Yí,セイギ,,,82,37,45,24,21,35,61,38,59,21,63,38,32,39,57,61,36,30,49,66,28,30,47,45,64,22,34,38,68,61,42,63,66,40,47,51,74,70,38,56,64,71,40,45,52,74,72,41,48,56,74,72,41,48,
成公英,,成公英,成公英,Chénggōng Yīng,セイコウエイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,58,80,70,68,73,71,80,62,68,73,71,80,62,
成濟,,成済,成济,Chéng Jì,セイサイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,19,17,17,,,,,,,,,,,,,,,,,,,
石韜,廣元,石韜,石韬,Shí Tāo,セイトウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,32,82,81,78,,,,,SAN11 家機版限定武將。
盛曼,,盛曼,盛曼,Shèng Màn,セイマン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,70,62,52,61,69,66,51,58,61,68,66,50,57,,,,,
成廉,,成廉,成廉,Chéng Lián,セイレン,,,,,,,,,,,63,20,72,43,29,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石苞,仲容,石苞,石苞,Shí Bāo,セキホウ,,,,,,,,,,,,,,,,,70,59,56,60,63,,,,,71,63,59,66,65,74,63,43,58,69,58,48,59,72,71,56,43,71,67,58,53,62,69,71,56,53,60,70,72,57,53,SAN12 家機版限定武將。
薛瑩,道言,薛瑩,薛莹,Xuē Yíng,セツエイ,,,,,,,,,,,33,16,40,61,78,62,,,,,,14,63,78,63,46,23,64,77,64,21,56,78,59,25,52,78,59,51,16,66,74,24,12,65,77,60,49,18,64,74,62,,,,,
薛珝,,薛珝,薛珝,Xuē Xǔ,セツク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,71,73,16,14,71,76,62,17,15,68,72,49,,,,,
薛綜,敬文,薛綜,薛综,Xuē Zōng,セツソウ,,,53,50,32,23,62,73,33,66,31,19,35,62,74,65,30,34,63,73,66,28,62,82,73,27,33,67,79,63,28,78,80,67,28,70,80,66,39,11,72,80,34,16,72,80,64,34,16,72,80,63,34,16,73,80,
薛則,,薛則,薛则,Xuē Zé,セツソク,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,42,38,44,,,,,,,,,,,,,,,,,,,
